,Date,Portfolio_Value,Actual_Return,Predicted_Return,Price
0,2019-08-16,10000.0,-0.011718745,-0.13517335,5.019999980926514
1,2019-08-19,10000.0,-0.017786592,-0.04011464,5.0
2,2019-08-20,10000.0,-0.024144853,-0.16461909,5.150000095367432
3,2019-08-21,9990.0,0.045360897,0.075930156,5.260000228881836
4,2019-08-22,10432.712042912002,-0.023668706,-0.23469746,5.170000076293945
5,2019-08-23,10422.27933086909,0.0020202396,0.06491371,5.039999961853027
6,2019-08-26,10432.891588429608,0.012096754,-0.07524624,4.960000038146973
7,2019-08-27,10432.891588429608,-0.0039840615,-0.07691604,4.989999771118164
8,2019-08-28,10422.458696841177,0.03000002,0.06267423,4.929999828338623
9,2019-08-29,10724.397523882497,0.02135925,-0.1349906,5.079999923706055
10,2019-08-30,10713.673126358615,-0.017110301,0.05402042,5.110000133514404
11,2019-09-03,10519.82866577644,-0.025145093,-0.065935224,4.980000019073486
12,2019-09-04,10519.82866577644,-0.015872993,-0.056728814,5.059999942779541
13,2019-09-05,10509.308837110662,0.006048335,0.057389643,5.320000171661377
14,2019-09-06,10572.87263880428,-0.012024037,0.04013452,5.440000057220459
15,2019-09-09,10445.744025088636,0.030425979,0.032049317,5.400000095367432
16,2019-09-10,10763.56606454195,0.0059055537,0.027948845,5.300000190734863
17,2019-09-11,10827.130876563979,-0.025440332,0.019885063,5.179999828338623
18,2019-09-12,10551.685041682544,0.016064236,0.038206454,5.039999961853027
19,2019-09-13,10721.189859970069,0.05138346,0.07281222,5.130000114440918
20,2019-09-16,11272.081529732937,0.022556368,0.013051694,5.190000057220459
21,2019-09-17,11526.338757164225,-0.0073529272,0.015734911,5.099999904632568
22,2019-09-18,11430.144761672442,-0.0185185,-0.039109252,5.099999904632568
23,2019-09-19,11418.714616910767,-0.022641579,0.08681872,5.099999904632568
24,2019-09-20,11160.176910718998,-0.027026994,0.03360047,5.079999923706055
25,2019-09-23,10847.692234598895,0.017857168,-0.021370994,5.070000171661377
26,2019-09-24,10836.844542364297,0.011695899,0.02107196,5.019999980926514
27,2019-09-25,10952.627547317,-0.017341074,-0.035900418,5.059999942779541
28,2019-09-26,10941.674919769683,-8.6921075e-09,0.06508519,5.039999961853027
29,2019-09-27,10941.674919769683,-8.6921075e-09,0.019460307,4.730000019073486
30,2019-09-30,10941.674919769683,-0.003921568,0.02618994,4.659999847412109
31,2019-10-01,10898.766430790942,-0.0019684543,0.024631482,4.5
32,2019-10-02,10866.435385113296,-0.009861966,-0.04213863,4.5
33,2019-10-03,10866.435385113296,0.007968116,-0.048718695,4.519999980926514
34,2019-10-04,10855.568949728184,-0.0039525707,0.05559175,4.590000152587891
35,2019-10-07,10812.661603009568,-0.06150793,0.042778995,4.730000019073486
36,2019-10-08,10127.312170537569,-0.014799192,0.03368889,4.590000152587891
37,2019-10-09,9779.593617954211,-0.03433474,0.101627484,4.619999885559082
38,2019-10-10,9779.593617954211,-8.6921075e-09,0.03574563,4.559999942779541
39,2019-10-11,9823.058437027132,0.0044444436,0.033530496,4.710000038146973
40,2019-10-14,9975.185821923866,0.015486758,0.035053723,4.940000057220459
41,2019-10-15,10279.439555434303,0.030501062,0.09411799,5.070000171661377
42,2019-10-16,9975.185821923866,-0.029598283,0.02830919,5.079999923706055
43,2019-10-17,10040.38253239173,0.0065358854,0.01428609,5.349999904632568
44,2019-10-18,9909.98807517297,-0.012986999,0.045689415,5.239999771118164
45,2019-10-21,10235.974736361384,0.03289477,0.057907745,5.239999771118164
46,2019-10-22,10735.820673841476,0.04883226,0.030719884,5.28000020980835
47,2019-10-23,11018.342515956969,0.02631581,0.053684276,5.400000095367432
48,2019-10-24,11029.034332944562,0.0019723452,0.03782762,5.380000114440918
49,2019-10-25,11029.034332944562,0.0531496,-0.035516903,5.380000114440918
50,2019-10-28,11029.034332944562,-0.020560771,-0.02995502,5.260000228881836
51,2019-10-29,11029.034332944562,-8.6921075e-09,-0.030476503,5.239999771118164
52,2019-10-30,11029.034332944562,0.007633663,-0.031158093,5.119999885559082
53,2019-10-31,11029.034332944562,0.022727259,-0.02497469,4.980000019073486
54,2019-11-01,11029.034332944562,-0.0037037034,-0.029596629,5.039999961853027
55,2019-11-04,11029.034332944562,-8.6921075e-09,-0.02675122,5.039999961853027
56,2019-11-05,11029.034332944562,-0.022304814,-0.04698106,4.940000057220459
57,2019-11-06,11029.034332944562,-0.0038023673,-0.055201136,4.639999866485596
58,2019-11-07,11029.034332944562,-0.022900742,-0.040040348,4.699999809265137
59,2019-11-08,11029.034332944562,-0.027343728,-0.021093396,4.730000019073486
60,2019-11-11,11029.034332944562,0.012048184,-0.030798161,4.829999923706055
61,2019-11-12,11029.034332944562,-8.6921075e-09,-0.029056825,4.78000020980835
62,2019-11-13,11029.034332944562,-0.019841246,-0.02665793,4.610000133514404
63,2019-11-14,11029.034332944562,-0.060728785,-0.048959278,4.619999885559082
64,2019-11-15,11029.034332944562,0.012931027,-0.049222067,4.619999885559082
65,2019-11-18,11029.034332944562,0.0063830325,-0.020863075,4.619999885559082
66,2019-11-19,11018.005298611615,0.02114163,-0.037169367,4.639999866485596
67,2019-11-20,10893.043975666109,-0.010351902,0.0055295755,4.659999847412109
68,2019-11-21,10882.150931690445,-0.035564873,-0.038048115,4.670000076293945
69,2019-11-22,10894.850123290247,0.0021691464,0.015914502,4.860000133514404
70,2019-11-25,10883.955273166957,-8.6921075e-09,-0.039532352,4.940000057220459
71,2019-11-26,10873.071317893791,-8.6921075e-09,0.023495993,4.909999847412109
72,2019-11-27,10873.071317893791,0.0043290006,-0.040546462,4.820000171661377
73,2019-11-29,10862.198246575896,0.004310343,-0.02808304,4.769999980926514
74,2019-12-02,10874.62271092809,0.002145979,0.021202734,4.849999904632568
75,2019-12-03,10874.62271092809,0.04068524,-0.013665038,4.900000095367432
76,2019-12-04,10874.62271092809,0.016460882,-0.033825077,4.949999809265137
77,2019-12-05,10874.62271092809,-0.0060729105,-0.0327419,4.949999809265137
78,2019-12-06,10874.62271092809,-0.018329872,-0.013647113,4.989999771118164
79,2019-12-09,10874.62271092809,-0.010373491,-0.038443465,5.0
80,2019-12-10,10863.748088217162,0.016771473,-0.010490174,5.0
81,2019-12-11,10964.77017470629,0.010309327,0.017933961,5.03000020980835
82,2019-12-12,10964.77017470629,0.010204031,-0.049060307,4.980000019073486
83,2019-12-13,10964.77017470629,-8.6921075e-09,-0.039837815,5.0
84,2019-12-16,10964.77017470629,0.008080796,-0.033503287,4.769999980926514
85,2019-12-17,10964.77017470629,0.0020040618,-0.039491165,4.820000171661377
86,2019-12-18,10964.77017470629,-8.6921075e-09,-0.04292014,4.789999961853027
87,2019-12-19,10964.77017470629,0.006000046,-0.016929997,4.78000020980835
88,2019-12-20,10964.77017470629,-0.009940393,-0.028278863,4.659999847412109
89,2019-12-23,10964.77017470629,0.0040160613,-0.046747245,4.679999828338623
90,2019-12-24,10964.77017470629,-0.046000004,-0.025128633,4.710000038146973
91,2019-12-26,10964.77017470629,0.010482228,-0.005704711,4.75
92,2019-12-27,10964.77017470629,-0.00622411,0.00088875403,4.699999809265137
93,2019-12-30,10964.77017470629,-0.0020876362,-0.04873649,4.869999885559082
94,2019-12-31,10964.77017470629,-0.025104675,0.0032922518,4.730000019073486
95,2020-01-02,10964.77017470629,0.0042918352,-0.018537853,4.849999904632568
96,2020-01-03,10964.77017470629,0.006410296,-0.020526443,4.809999942779541
97,2020-01-06,10964.77017470629,0.0084925685,-0.0033586717,4.809999942779541
98,2020-01-07,10964.77017470629,-0.010526363,-0.0068700933,4.710000038146973
99,2020-01-08,10964.77017470629,0.036170233,-0.042863604,4.650000095367432
100,2020-01-09,10964.77017470629,-0.028747398,-0.02097769,4.699999809265137
101,2020-01-10,10964.77017470629,0.025369946,-0.008256778,4.639999866485596
102,2020-01-13,10964.77017470629,-0.008247421,-0.01975675,4.699999809265137
103,2020-01-14,10964.77017470629,-8.6921075e-09,-0.06037193,4.690000057220459
104,2020-01-15,10953.805404531584,-0.020790003,-0.0041576205,4.75
105,2020-01-16,10803.452349769308,-0.012738846,0.0065012937,4.75
106,2020-01-17,10803.452349769308,0.010752629,-0.05629209,4.71999979019165
107,2020-01-21,10803.452349769308,-0.012765941,-0.02210555,4.610000133514404
108,2020-01-22,10803.452349769308,0.012931027,-0.052408542,4.489999771118164
109,2020-01-23,10803.452349769308,-0.0021276015,0.0028366814,4.380000114440918
110,2020-01-24,10803.452349769308,0.012793169,0.0024564757,4.400000095367432
111,2020-01-27,10803.452349769308,-8.6921075e-09,-0.002092653,4.130000114440918
112,2020-01-28,10803.452349769308,-0.0063158404,0.0026014931,4.170000076293945
