,Date,Portfolio_Value,Actual_Return,Predicted_Return,Price
107,2020-01-16,11076.27386475003,0.01058613,-0.0034060243,3870.52001953125
108,2020-01-17,11076.27386475003,0.007457728,-0.025626758,3893.409912109375
109,2020-01-21,11076.27386475003,0.002501638,-0.009925843,3905.139892578125
110,2020-01-22,11076.27386475003,0.022243792,0.00013853832,3932.0
111,2020-01-23,11076.27386475003,-0.008573271,-0.008675103,4028.239990234375
112,2020-01-24,11076.27386475003,0.0059138983,0.0017330854,3983.60009765625
113,2020-01-27,11076.27386475003,0.0030127822,-0.0011592348,3946.219970703125
114,2020-01-28,11076.27386475003,0.00687815,-0.0048451684,4030.0
115,2020-01-29,11076.27386475003,0.02447608,-0.021236178,3898.56005859375
116,2020-01-30,11076.27386475003,-0.011081737,-0.00050437456,3966.760009765625
117,2020-01-31,11076.27386475003,-0.00938351,-0.004064011,3816.969970703125
118,2020-02-03,11076.27386475003,0.021230461,-0.022498654,3810.0
119,2020-02-04,11076.27386475003,-0.032615364,-0.01382662,3791.77001953125
120,2020-02-05,11076.27386475003,0.017493624,0.0030679908,3853.47998046875
121,2020-02-06,11065.19759088528,-0.037761312,0.00805614,3886.9599609375
122,2020-02-07,10647.361277296215,-0.0018260423,-0.0048831943,3921.6298828125
123,2020-02-10,10627.918683632144,-0.004784774,0.0033042585,3952.2099609375
124,2020-02-11,10577.066518270969,0.016274719,-0.0046183295,3981.860107421875
125,2020-02-12,10738.456013003894,0.008688246,-0.0077560605,3976.780029296875
126,2020-02-13,10738.456013003894,0.008919551,-0.029825063,4021.75
127,2020-02-14,10738.456013003894,0.007797788,-0.0003457089,3993.6298828125
128,2020-02-18,10738.456013003894,0.007502168,-0.0013162629,3960.0
129,2020-02-19,10738.456013003894,-0.0012758055,-0.002722989,3965.949951171875
130,2020-02-20,10738.456013003894,0.011308134,0.0002657537,4037.77001953125
131,2020-02-21,10738.456013003894,-0.0069920113,-0.027945355,4031.139892578125
132,2020-02-24,10738.456013003894,-0.008420884,-0.0031814806,3988.409912109375
133,2020-02-25,10738.456013003894,0.001502512,-0.00843489,3860.280029296875
134,2020-02-26,10727.717556990889,0.018109182,0.00674029,3849.5
135,2020-02-27,10921.987635476245,-0.0016420304,-0.00019949928,3746.0400390625
136,2020-02-28,10904.053438071887,-0.010599971,0.002594587,3667.179931640625
137,2020-03-02,10788.470748595679,-0.03212556,0.0069505293,3788.31005859375
138,2020-03-03,10441.88513598181,-0.0027925516,0.01542081,3843.840087890625
139,2020-03-04,10402.312912373132,-0.026876207,-0.022035189,4017.0
140,2020-03-05,10402.312912373132,-0.021051595,0.0030284391,3923.610107421875
141,2020-03-06,10391.910599460758,0.033030875,0.005773185,3845.22998046875
142,2020-03-09,10724.429235981743,0.014658262,-0.021479096,3632.35009765625
143,2020-03-10,10724.429235981743,0.045048673,-0.03759644,3750.0
144,2020-03-11,10724.429235981743,-0.023248672,-0.008481365,3411.89990234375
145,2020-03-12,10724.429235981743,-0.01997653,-0.002231906,2947.199951171875
146,2020-03-13,10724.429235981743,-0.05536207,0.0011554549,2922.280029296875
147,2020-03-16,10713.704806745762,0.032389462,0.009478709,2321.780029296875
148,2020-03-17,11060.716050256322,-0.090160035,0.0006451667,2271.550048828125
149,2020-03-18,10053.418121522607,-0.13619976,0.009285442,2286.27001953125
150,2020-03-19,10043.364703401085,-0.00845546,-0.024166562,2709.419921875
151,2020-03-20,7963.600241347906,-0.20549023,0.009372361,2326.889892578125
152,2020-03-23,8015.205515158411,-0.02163425,0.017975712,2175.0
153,2020-03-24,9479.696587497698,0.006480152,0.0130764935,2633.489990234375
154,2020-03-25,8852.039713365215,0.18508309,0.0128753865,2915.0
155,2020-03-26,8852.039713365215,-0.14118521,0.00555642,2941.469970703125
156,2020-03-27,8843.18767365185,-0.06527593,0.008689933,2871.6201171875
157,2020-03-30,8633.192205478463,0.21079999,-0.008608878,2714.31005859375
158,2020-03-31,8152.097535655245,0.10689617,-0.001955218,2569.110107421875
