,Date,Portfolio_Value,Actual_Return,Predicted_Return,Price
0,2019-08-02,9990.0,-0.0064516244,0.006560173,13.949999809265137
1,2019-08-05,9915.622728665981,-0.005050485,-0.028920133,13.859999656677246
2,2019-08-06,9915.622728665981,0.0079767695,-0.04552033,13.789999961853027
3,2019-08-07,9915.622728665981,-0.007194204,-0.00032250216,13.899999618530272
4,2019-08-08,9915.622728665981,-0.0043478534,-0.015760258,13.800000190734863
5,2019-08-09,9915.622728665981,0.017467229,-0.04550892,13.739999771118164
6,2019-08-12,9915.622728665981,0.0007153271,-0.020091733,13.979999542236328
7,2019-08-13,9915.622728665981,-0.002859182,-0.0051718503,13.989999771118164
8,2019-08-14,9915.622728665981,0.0007168661,-0.008046204,13.949999809265137
9,2019-08-15,9905.707105937316,0.0085959835,0.015720889,13.960000038146973
10,2019-08-16,9980.865512880822,0.0063920594,-0.016355399,14.079999923706056
11,2019-08-19,9970.884647367942,-0.003528599,0.009809597,14.170000076293944
12,2019-08-20,9925.765732703077,-1.3143017e-09,-0.0077810446,14.119999885559082
13,2019-08-21,9915.839966970376,0.0056657153,0.014073137,14.119999885559082
14,2019-08-23,9972.02031026134,-0.017605636,0.008332877,14.199999809265137
15,2019-08-26,9796.456570046446,0.00501797,0.015030118,13.949999809265137
16,2019-08-27,9835.769257845212,-0.0021398473,-0.010958029,14.020000457763672
17,2019-08-28,9825.933488587367,-0.00071481115,0.013600197,13.989999771118164
18,2019-08-29,9809.090877194154,0.0107296575,-0.010176623,13.979999542236328
19,2019-08-30,9800.26269540468,-0.0007077266,0.008676908,14.130000114440918
20,2019-09-03,9794.02097184117,-0.0084985765,0.01711681,14.119999885559082
21,2019-09-04,9719.122074809618,-1.3143017e-09,0.0141429035,14.0
22,2019-09-05,9719.122074809618,-1.3143017e-09,0.021356568,14.0
23,2019-09-06,9719.122074809618,-1.3143017e-09,0.016434494,14.0
24,2019-09-09,9719.122074809618,-0.0035714407,0.0082379095,14.0
25,2019-09-10,9687.914052235592,0.019354874,0.020521011,13.949999809265137
26,2019-09-11,9856.437016989223,-0.017580874,0.025874935,14.220000267028809
27,2019-09-12,9700.397499362613,-0.0014316702,0.017488299,13.970000267028809
28,2019-09-13,9679.207047271077,0.0007168661,-0.008321844,13.949999809265137
29,2019-09-16,9671.46368163326,-0.0028653299,0.008735709,13.960000038146973
30,2019-09-17,9649.298596035045,0.00933909,0.018113952,13.920000076293944
31,2019-09-18,9721.335256343573,0.0035587328,0.009456291,14.050000190734863
32,2019-09-19,9749.04174545567,-0.0014184713,0.012814642,14.100000381469728
33,2019-09-20,9730.156820898928,0.0007102416,-0.010752732,14.079999923706056
34,2019-09-23,9721.886187601165,-0.01419445,0.023957552,14.09000015258789
35,2019-09-24,9604.606490008746,0.00791934,0.013454366,13.890000343322754
36,2019-09-25,9669.11018387615,-0.02285712,0.014327662,14.0
37,2019-09-26,9481.462667728276,0.00950293,0.016982554,13.68000030517578
38,2019-09-27,9549.596439883942,-0.0007241289,-0.010769018,13.8100004196167
39,2019-09-30,9541.47928291004,0.008695644,0.01584448,13.800000190734863
40,2019-10-01,9611.992604401054,0.0028735576,0.02600356,13.920000076293944
41,2019-10-02,9635.497044898058,0.004298025,0.025583038,13.960000038146973
42,2019-10-03,9670.753985838597,0.004279565,0.018102009,14.020000457763672
43,2019-10-04,9706.010366389073,-1.3143017e-09,0.02211008,14.079999923706056
44,2019-10-07,9706.010366389073,-0.0049715685,0.006698024,14.079999923706056
45,2019-10-08,9664.87773561683,0.004282618,0.0120888,14.010000228881836
46,2019-10-09,9700.134116167304,-0.0063966,0.013520787,14.06999969482422
47,2019-10-10,9647.248984951528,0.004291877,0.01857852,13.979999542236328
48,2019-10-11,9682.505925892066,0.0007122658,0.01055103,14.039999961853027
49,2019-10-14,9680.126233403704,-1.3143017e-09,-0.011732802,14.050000190734863
50,2019-10-15,9671.41411979364,-0.004270492,0.007047667,14.050000190734863
51,2019-10-16,9625.58007580211,0.0042888075,-0.010357751,13.989999771118164
52,2019-10-17,9625.58007580211,-1.3143017e-09,-0.010301016,14.050000190734863
53,2019-10-18,9625.58007580211,-1.3143017e-09,-0.013768889,14.050000190734863
54,2019-10-21,9625.58007580211,-1.3143017e-09,-0.0038401678,14.050000190734863
55,2019-10-22,9625.58007580211,-1.3143017e-09,-0.010134902,14.050000190734863
56,2019-10-23,9625.58007580211,0.002846976,-0.0042496487,14.050000190734863
57,2019-10-25,9625.58007580211,-0.021632902,-0.006661082,14.329999923706056
58,2019-10-28,9616.917053733889,0.012838757,0.0057074446,14.020000457763672
59,2019-10-29,9719.26277929121,-0.0014084176,-0.008289316,14.199999809265137
60,2019-10-30,9719.26277929121,0.006346976,-0.00574732,14.18000030517578
